;Scopy version,e02cebe
;Exported on,Thursday December 09/12/2021
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
229,121.795,11.9759,-0.457086
230,122.64,12.0012,-0.792392
231,123.491,11.9803,-0.588028
232,124.347,11.9744,-0.595004
233,125.21,11.9836,-0.738642
234,126.079,11.9995,-0.649105
235,126.954,12.0073,-0.576305
236,127.835,11.9974,-0.312366
237,128.722,11.9656,-0.306485
238,129.615,12.0121,-0.460885
239,130.514,12.01,-0.528922
240,131.42,11.9739,-0.443229
241,132.332,12.0006,-0.537211
242,133.25,11.9748,-0.564186
243,134.174,11.9962,-0.517151
244,135.105,11.9849,-0.645303
245,136.043,11.9908,-0.550136
246,136.987,11.9179,-0.374997
247,137.937,12.0626,-0.607091
248,138.894,11.9406,-0.734746
249,139.858,11.9841,-0.611515
250,140.829,12.0024,-0.58108
251,141.806,11.986,-0.557813
252,142.79,11.9975,-0.581384
253,143.78,11.988,-0.523403
254,144.778,11.9976,-0.609982
255,145.783,11.9791,-0.612313
256,146.794,11.9766,-0.470316
257,147.813,11.9768,-0.5099
258,148.838,12.0242,-0.47457
259,149.871,11.9856,-0.821537
260,150.911,12.0016,-0.354998
261,151.958,12.024,-0.401298
262,153.012,12.0521,-0.395292
263,154.074,12.0671,-0.401636
264,155.143,11.9337,-1.02471
265,156.22,12.0037,-0.651421
266,157.304,11.995,-0.71511
267,158.395,11.9606,-0.682417
268,159.494,12.0147,-0.569354
269,160.601,11.9655,-0.469337
270,161.715,11.985,-1.02703
271,162.837,11.932,-0.306198
272,163.967,11.9206,-0.317879
273,165.105,12.0102,-0.594436
274,166.25,11.9608,-0.649676
275,167.404,11.9969,-0.961971
276,168.566,12.0671,-0.820885
277,169.735,12.0769,-1.002
278,170.913,11.9968,-0.690589
279,172.099,11.9951,-0.942755
280,173.293,12.0425,-0.507493
281,174.495,11.9465,-0.57915
282,175.706,12.0888,-0.430899
283,176.925,11.9111,-0.918023
284,178.153,12.0295,-0.55766
285,179.389,11.9969,-0.99969
286,180.634,11.9706,-0.418678
287,181.887,11.8615,-0.156076
288,183.149,12.0268,-0.957399
289,184.42,11.9566,-0.610956
290,185.7,11.9466,-0.66537
291,186.988,12.1135,-0.81419
292,188.286,12.023,-0.737613
293,189.592,12.066,-0.829955
294,190.907,11.9542,-0.344997
295,192.232,11.967,-0.834599
296,193.566,12.0329,-0.959153
297,194.909,12.0626,-0.781293
298,196.261,11.9275,-0.978471
299,197.623,12.0235,-0.858649
300,198.994,12.0461,-0.839469
301,200.375,12.006,-0.318486
302,201.766,12.0169,-1.05439
303,203.165,11.9596,-0.742691
304,204.575,12.0705,-0.505816
305,205.995,12.0065,-0.940477
306,207.424,11.9893,-0.601318
307,208.863,12.0551,-1.31469
308,210.312,12.0173,-0.868356
309,211.772,11.9743,-0.990422
310,213.241,12.0802,-0.554479
311,214.721,12.0108,-1.02673
312,216.211,11.9822,-1.22489
313,217.711,11.896,-0.816268
314,219.221,12.0346,-1.02288
315,220.742,11.9916,-1.48682
316,222.274,12.0183,-0.206359
317,223.816,12.0315,-1.26291
318,225.369,11.9791,-0.400867
319,226.933,12.0172,-1.17633
320,228.508,11.9603,-0.632311
321,230.093,11.9219,-0.607007
322,231.69,12.0439,-1.08758
323,233.297,11.9457,-0.81334
324,234.916,12.0147,-1.24665
325,236.546,12.0769,-0.871252
326,238.188,12.0638,-1.94581
327,239.84,12.0345,-1.3209
328,241.504,12.0372,-0.265142
329,243.18,12.0119,-1.38755
330,244.867,11.9629,-0.851894
331,246.566,12.0407,-1.22471
332,248.277,11.9703,-0.931398
333,250,12.0041,-1.22678
334,251.735,12.0193,-0.756588
335,253.481,11.9955,-1.92795
336,255.24,11.9847,-1.46438
337,257.011,12.057,-0.478793
338,258.794,12.0418,-1.4073
339,260.59,12.1218,-0.843868
340,262.398,12.0261,-1.34384
341,264.219,12.0469,-0.627236
342,266.052,12.0261,-1.2629
343,267.898,12.0273,-1.90637
344,269.757,12.0328,-1.4618
345,271.629,12.1149,-1.34083
346,273.514,12.0478,-1.3287
347,275.411,11.9916,-0.765783
348,277.322,12.0281,-1.41592
349,279.247,12.0857,-0.758582
350,281.184,12.0461,-1.49383
351,283.135,12.0798,-0.811693
352,285.1,12.0336,-1.34802
353,287.078,11.991,-1.95427
354,289.07,12.0277,-1.49143
355,291.076,12.0476,-2.00281
